season,player,team,tenure_years
2022,Avesh Khan,Lucknow Super Giants,1
2023,Avesh Khan,Lucknow Super Giants,2
2024,Avesh Khan,Rajasthan Royals,1
2025,Avesh Khan,Lucknow Super Giants,1
2012,Azhar Mahmood,Punjab Kings,1
2013,Azhar Mahmood,Punjab Kings,2
2015,Azhar Mahmood,Kolkata Knight Riders,1
2024,Azmatullah Omarzai,Gujarat Titans,1
2025,Azmatullah Omarzai,Punjab Kings,1
2008,B Akhil,Royal Challengers Bengaluru,1
2009,B Akhil,Royal Challengers Bengaluru,2
2010,B Akhil,Royal Challengers Bengaluru,3
2011,B Akhil,Kochi Tuskers Kerala,1
2008,B Chipli,Royal Challengers Bengaluru,1
2011,B Chipli,Deccan Chargers,1
2012,B Chipli,Deccan Chargers,2
2013,B Chipli,Delhi Capitals,1
2008,B Geeves,Delhi Capitals,1
2022,B Indrajith,Kolkata Knight Riders,1
2011,B Kumar,Pune Warriors,1
2012,B Kumar,Pune Warriors,2
2013,B Kumar,Pune Warriors,3
2014,B Kumar,Sunrisers Hyderabad,1
2015,B Kumar,Sunrisers Hyderabad,2
2016,B Kumar,Sunrisers Hyderabad,3
2017,B Kumar,Sunrisers Hyderabad,4
2018,B Kumar,Sunrisers Hyderabad,5
2019,B Kumar,Sunrisers Hyderabad,6
2020,B Kumar,Sunrisers Hyderabad,7
2021,B Kumar,Sunrisers Hyderabad,8
2022,B Kumar,Sunrisers Hyderabad,9
2023,B Kumar,Sunrisers Hyderabad,10
2024,B Kumar,Sunrisers Hyderabad,11
2025,B Kumar,Royal Challengers Bengaluru,1
2013,B Laughlin,Chennai Super Kings,1
2018,B Laughlin,Rajasthan Royals,1
2008,B Lee,Punjab Kings,1
2009,B Lee,Punjab Kings,2
2010,B Lee,Punjab Kings,3
2011,B Lee,Kolkata Knight Riders,1
2012,B Lee,Kolkata Knight Riders,2
2013,B Lee,Kolkata Knight Riders,3
2022,B Sai Sudharsan,Gujarat Titans,1
2023,B Sai Sudharsan,Gujarat Titans,2
2024,B Sai Sudharsan,Gujarat Titans,3
2025,B Sai Sudharsan,Gujarat Titans,4
2017,B Stanlake,Royal Challengers Bengaluru,1
2018,B Stanlake,Sunrisers Hyderabad,1
2010,B Sumanth,Deccan Chargers,1
2011,BA Bhatt,Punjab Kings,1
2012,BA Bhatt,Punjab Kings,2
2013,BA Bhatt,Punjab Kings,3
2017,BA Stokes,Rising Pune Supergiant,1
2018,BA Stokes,Rajasthan Royals,1
2019,BA Stokes,Rajasthan Royals,2
2020,BA Stokes,Rajasthan Royals,3
2021,BA Stokes,Rajasthan Royals,4
2023,BA Stokes,Chennai Super Kings,1
2008,BAW Mendis,Kolkata Knight Riders,1
2009,BAW Mendis,Kolkata Knight Riders,2
2010,BAW Mendis,Kolkata Knight Riders,3
2013,BAW Mendis,Pune Warriors,1
2008,BB McCullum,Kolkata Knight Riders,1
2009,BB McCullum,Kolkata Knight Riders,2
2010,BB McCullum,Kolkata Knight Riders,3
2011,BB McCullum,Kochi Tuskers Kerala,1
2012,BB McCullum,Kolkata Knight Riders,1
2013,BB McCullum,Kolkata Knight Riders,2
2014,BB McCullum,Chennai Super Kings,1
2015,BB McCullum,Chennai Super Kings,2
2016,BB McCullum,Gujarat Lions,1
2017,BB McCullum,Gujarat Lions,2
2018,BB McCullum,Royal Challengers Bengaluru,1
2012,BB Samantray,Deccan Chargers,1
2013,BB Samantray,Sunrisers Hyderabad,1
2015,BB Sran,Rajasthan Royals,1
2016,BB Sran,Sunrisers Hyderabad,1
2017,BB Sran,Sunrisers Hyderabad,2
2018,BB Sran,Punjab Kings,1
2019,BB Sran,Mumbai Indians,1
2014,BCJ Cutting,Rajasthan Royals,1
2016,BCJ Cutting,Sunrisers Hyderabad,1
2017,BCJ Cutting,Sunrisers Hyderabad,2
2018,BCJ Cutting,Mumbai Indians,1
2019,BCJ Cutting,Mumbai Indians,2
2014,BE Hendricks,Punjab Kings,1
2015,BE Hendricks,Punjab Kings,2
2011,BJ Haddin,Kolkata Knight Riders,1
2008,BJ Hodge,Kolkata Knight Riders,1
2009,BJ Hodge,Kolkata Knight Riders,2
2010,BJ Hodge,Kolkata Knight Riders,3
2011,BJ Hodge,Kochi Tuskers Kerala,1
2012,BJ Hodge,Rajasthan Royals,1
2013,BJ Hodge,Rajasthan Royals,2
2014,BJ Hodge,Rajasthan Royals,3
2013,BJ Rohrer,Delhi Capitals,1
2025,BKG Mendis,Gujarat Titans,1
2013,BMAJ Mendis,Delhi Capitals,1
2014,BR Dunk,Mumbai Indians,1
2024,BR Sharath,Gujarat Titans,1
2012,BW Hilfenhaus,Chennai Super Kings,1
2014,BW Hilfenhaus,Chennai Super Kings,1
2017,Basil Thampi,Gujarat Lions,1
2018,Basil Thampi,Sunrisers Hyderabad,1
2019,Basil Thampi,Sunrisers Hyderabad,2
