season,team,team_tenure_density,mix_change_magnitude
2008,Chennai Super Kings,1.0,
2008,Deccan Chargers,1.0,
2008,Delhi Capitals,1.0,
2008,Kolkata Knight Riders,1.0,
2008,Mumbai Indians,1.0,
2008,Punjab Kings,1.0,
2008,Rajasthan Royals,1.0,
2008,Royal Challengers Bengaluru,1.0,
2009,Chennai Super Kings,1.8055555555555556,10.365252113293332
2009,Deccan Chargers,1.6705882352941177,31.31778840889633
2009,Delhi Capitals,1.7032258064516128,24.8466562330521
2009,Kolkata Knight Riders,1.7651515151515151,19.362436728696814
2009,Mumbai Indians,1.6793893129770991,13.074929269208663
2009,Punjab Kings,1.8523489932885906,17.472463303629304
2009,Rajasthan Royals,1.6304347826086956,17.26223472436569
2009,Royal Challengers Bengaluru,1.6826347305389222,5.8011841272316085
2010,Chennai Super Kings,2.4593023255813953,17.72798322349892
2010,Deccan Chargers,2.421965317919075,23.17934961330027
2010,Delhi Capitals,2.423841059602649,25.556780649700073
2010,Kolkata Knight Riders,2.223021582733813,20.107480562723126
2010,Mumbai Indians,1.9941520467836258,25.99867607286714
2010,Punjab Kings,2.3125,20.55971759752333
2010,Rajasthan Royals,1.8133333333333332,9.149416661558096
2010,Royal Challengers Bengaluru,2.610062893081761,11.768047872246836
2011,Chennai Super Kings,2.8518518518518516,10.242498803813024
2011,Deccan Chargers,1.2297297297297298,24.799277132351897
2011,Delhi Capitals,1.587837837837838,53.74632031568034
2011,Kochi Tuskers Kerala,1.0,
2011,Kolkata Knight Riders,1.2451612903225806,24.993476320021777
2011,Mumbai Indians,2.1506024096385543,31.34254668206538
2011,Pune Warriors,1.0,
2011,Punjab Kings,1.4217687074829932,35.886822061027814
2011,Rajasthan Royals,1.8359375,31.85773974401232
2011,Royal Challengers Bengaluru,1.4556962025316456,23.077926070527916
2012,Chennai Super Kings,3.3225806451612905,17.227930805596294
2012,Deccan Chargers,1.63125,23.95375097770949
2012,Delhi Capitals,2.252688172043011,37.84528797356867
2012,Kolkata Knight Riders,2.056179775280899,23.25003521405203
2012,Mumbai Indians,2.5138121546961325,33.84072987411871
2012,Pune Warriors,1.6257309941520468,10.987455769767648
2012,Punjab Kings,2.0292397660818713,46.97629851106327
2012,Rajasthan Royals,2.0301204819277108,32.955126763336395
2012,Royal Challengers Bengaluru,1.9935897435897436,26.60042036708523
